ZIP,Population,NonHispanic,Hispanic,%Hispanic,Mexican,%,PuertoRican,%,Cuban,%,Dominican,%,Costa Rican,%,Guatemalan,%,Honduran,%,Nicaraguan,%,Panamanian,%,Salvadoran,%, Argentinean,%,Bolivian,%,Chilean,%,Colombian,%,Ecuadorian,%,Paraguayan,%,Peruvian,%,Uruguayan,%,Venezuelan,%,OTHERS,%,Other Central American,%, Other South American,%,Other Hispanic,%,Spaniard,Spanish,Spanish American,All other Hispanic
33015,63544,13305,50239,0.79,596,0.01,3621,0.07,22952,0.46,3779,0.08,262,0.01,378,0.01,888,0.02,2182,0.04,332,0.01,322,0.01,466,0.01,76,0.00,311,0.01,7859,0.16,1046,0.02,10,0.00,1273,0.03,133,0.00,1454,0.03,2299,0.05,5,0.00,6,0.00,2288,0.05,185,38,5,2060
33016,45342,3257,42085,0.93,361,0.01,1358,0.03,28019,0.67,1634,0.04,123,0.00,238,0.01,867,0.02,2869,0.07,132,0.00,175,0.00,354,0.01,23,0.00,174,0.00,2643,0.06,475,0.01,4,0.00,643,0.02,69,0.00,539,0.01,1385,0.03,0,0.00,2,0.00,1383,0.03,163,16,1,1203
33018,46117,3076,43041,0.93,379,0.01,1421,0.03,30191,0.70,1369,0.03,139,0.00,228,0.01,750,0.02,2374,0.06,160,0.00,247,0.01,151,0.00,51,0.00,157,0.00,2552,0.06,475,0.01,13,0.00,511,0.01,49,0.00,461,0.01,1363,0.03,3,0.00,1,0.00,1359,0.03,138,30,2,1189
33019,15107,11930,3177,0.21,165,0.05,293,0.09,870,0.27,81,0.03,15,0.00,14,0.00,25,0.01,18,0.01,32,0.01,15,0.00,243,0.08,23,0.01,34,0.01,552,0.17,70,0.02,2,0.00,163,0.05,42,0.01,262,0.08,258,0.08,0,0.00,3,0.00,255,0.08,60,17,2,176
33020,41329,29076,12253,0.30,755,0.06,2714,0.22,1834,0.15,814,0.07,98,0.01,163,0.01,353,0.03,352,0.03,104,0.01,199,0.02,611,0.05,47,0.00,172,0.01,1388,0.11,330,0.03,15,0.00,824,0.07,218,0.02,330,0.03,932,0.08,4,0.00,17,0.00,911,0.07,100,44,0,767
33021,45921,32738,13183,0.29,504,0.04,2321,0.18,2624,0.20,1057,0.08,96,0.01,186,0.01,302,0.02,318,0.02,138,0.01,205,0.02,491,0.04,33,0.00,185,0.01,1779,0.13,319,0.02,16,0.00,1068,0.08,131,0.01,399,0.03,1011,0.08,1,0.00,23,0.00,987,0.07,128,44,4,811
33023,63576,45213,18363,0.29,836,0.05,3595,0.20,3940,0.21,2561,0.14,136,0.01,298,0.02,866,0.05,956,0.05,328,0.02,247,0.01,193,0.01,16,0.00,186,0.01,1447,0.08,302,0.02,2,0.00,667,0.04,86,0.00,238,0.01,1463,0.08,16,0.00,6,0.00,1441,0.08,74,65,1,1301
33024,63916,35393,28523,0.45,869,0.03,5665,0.20,6974,0.24,2565,0.09,239,0.01,464,0.02,801,0.03,862,0.03,261,0.01,536,0.02,426,0.01,60,0.00,242,0.01,3614,0.13,817,0.03,7,0.00,1574,0.06,141,0.00,650,0.02,1756,0.06,4,0.00,50,0.00,1702,0.06,169,77,3,1453
33025,59039,40508,18531,0.31,476,0.03,3251,0.18,4309,0.23,1862,0.10,158,0.01,149,0.01,416,0.02,729,0.04,354,0.02,154,0.01,262,0.01,34,0.00,128,0.01,2955,0.16,476,0.03,7,0.00,683,0.04,61,0.00,893,0.05,1174,0.06,7,0.00,5,0.00,1162,0.06,95,45,4,1018
33026,28498,19087,9411,0.33,239,0.03,1521,0.16,2833,0.30,624,0.07,74,0.01,85,0.01,141,0.02,149,0.02,84,0.01,77,0.01,231,0.02,31,0.00,77,0.01,1653,0.18,238,0.03,1,0.00,489,0.05,62,0.01,347,0.04,455,0.05,0,0.00,13,0.00,442,0.05,106,21,3,312
